stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1497B,,"TOULOUSE",,  50.843170,   4.375922,,,0
1498,,"HUIT HEURES",,  50.820497,   4.299327,,,0
1499,,"CAMPUS CERIA",,  50.816284,   4.295482,,,0
1500,,"MUSEE DU TRAM",,  50.832932,   4.432063,,,0
1508,,"MADOU",,  50.849131,   4.369931,,,0
1509,,"SAINT-JOSSE",,  50.849751,   4.374333,,,0
1510,,"GUTENBERG",,  50.849049,   4.377287,,,0
1511,,"CLOVIS",,  50.849391,   4.381831,,,0
1512,,"VINCOTTE",,  50.851620,   4.384813,,,0
1513,,"DAILLY",,  50.852473,   4.388463,,,0
1514,,"RADIUM",,  50.852949,   4.391801,,,0
1515,,"PLASKY",,  50.851519,   4.394513,,,0
1516,,"OPALE",,  50.850080,   4.398687,,,0
1518,,"LEVIE",,  50.847865,   4.407716,,,0
1519,,"MAI",,  50.848322,   4.413496,,,0
1520,,"HEYDENBERG",,  50.848617,   4.417628,,,0
1521,,"SPEECKAERT",,  50.848436,   4.420326,,,0
1522,,"VERHEYLEWEGHEN",,  50.848128,   4.425140,,,0
1525,,"PEUPLIERS",,  50.852876,   4.437997,,,0
1526,,"MARCEL THIRY",,  50.855671,   4.440572,,,0
1527,,"JESPERS",,  50.857135,   4.441341,,,0
1528,,"HOF TEN BERG",,  50.858800,   4.438702,,,0
1529,,"HYMANS",,  50.846731,   4.431215,,,0
1531,,"MARCEL THIRY",,  50.855618,   4.438981,,,0
1532,,"TRACTEBEL",,  50.856440,   4.431044,,,0
1533,,"GULLEDELLE",,  50.855498,   4.428174,,,0
